traffic,area,year_built,price
17568691,32.73,2003,12300
8726032,29.87,2003,15300
26283341,44.86,2006,17800
26283341,33.69,2004,21000
8726032,60.46,2004,21800
8726032,81.21,2004,24800
32691414,40.16,2005,22000
32691414,40.68,2005,22500
32691414,56.44,2005,26500
32691414,56.44,2005,26000
32691414,42.26,2006,18700
17568691,20.3,2016,13902
17568691,20.3,2016,13902
17568691,20.3,2016,13902
26283341,25.67,2011,13200
17568691,29.4,2006,12600
32691414,17.63,2016,13900
8726032,38.68,2002,15000
8726032,35.49,2002,13500
26283341,86.17,2006,40000
26283341,70.71,2007,42000
26283341,50.68,2007,35700
26283341,86.79,2007,47900
26283341,50.68,2007,35700
26283341,117.01,2007,58000
419741,92.06,2010,41300
7920059,30.03,2001,9100
7920059,77.78,2004,23650
7920059,18.0,2004,9200
7920059,18.0,2004,8900
9619253,93.78,2007,29900
9619253,102.24,2007,30500
9619253,102.24,2007,34500
9619253,69.93,2007,26000
7920059,29.43,2005,11700
7920059,34.07,2005,13400
32691414,17.35,2013,11300
32691414,17.76,2014,11000
4461394,53.62,2003,12630
4461394,40.67,2015,23800
19313042,29.07,2004,11500
19057983,33.99,1993,15321
19057983,26.15,1993,13500
12384456,24.68,2004,13300
12384456,27.72,2004,13000
8086848,23.37,2004,10300
8086848,27.78,2004,12000
8086848,23.37,2004,11200
8086848,36.77,2005,15000
8086848,31.07,2005,14700
8342096,30.0,2003,12000
8342096,30.0,2003,11770
13702563,59.64,2005,24300
13702563,72.55,2005,26500
13702563,51.3,2005,23700
13702563,50.35,2004,18800
13702563,50.35,2004,18600
19057983,23.75,2000,11000
19057983,27.85,2000,13000
8724072,27.76,2004,13000
8724072,32.1,2004,15000
8724072,26.4,2004,13000
17955434,60.97,2005,25500
12732006,33.59,2004,14500
12384456,28.5,2003,12000
12384456,31.49,2003,14000
12384456,33.27,2003,13500
8724072,41.18,2003,10500
10278534,30.27,2004,13300
10278534,25.33,2005,11500
10278534,17.52,2005,8600
10278534,26.46,2012,14000
10278534,23.85,2015,15000
10278534,20.62,2015,13300
17130211,28.31,2004,15200
17130211,28.31,2004,15000
17130211,36.02,2005,15000
17130211,46.96,2005,15900
17130211,36.02,2005,13900
17130211,36.02,2005,14800
17130211,30.47,2004,13250
17130211,28.9,2004,13700
17130211,30.29,2004,14000
17130211,30.29,2004,13800
17130211,39.02,2006,16900
17130211,39.02,2006,15800
17130211,51.88,2006,22000
3670569,21.6,2006,9100
0,33.8,2004,10300
7365708,18.9,2005,6000
7365708,25.46,2005,8150
7365708,51.05,2013,26642
7365708,24.53,2012,13730
7365708,24.53,2012,13000
7365708,34.95,2009,12500
7365708,18.92,2012,10500
7365708,37.17,2002,12900
7365708,28.49,2004,12030
7365708,28.49,2004,11600
7365708,28.49,2004,11300
7365708,32.24,2004,11450
7365708,28.49,2004,11800
7365708,28.49,2004,10000
7365708,67.68,2016,28500
7365708,70.67,2015,26700
10808413,32.41,1999,9500
44696778,19.28,2015,20300
10809561,22.68,2003,9500
11179098,62.43,2006,30600
11179098,41.48,2006,24000
11179098,41.48,2006,24000
11179098,41.48,2006,25000
23201927,27.74,2013,23800
23201927,27.74,2013,23850
23201927,32.07,2013,26350
23201927,38.15,2013,29400
23201927,29.33,2004,25000
13757429,31.38,2005,20000
13757429,49.37,2005,27900
13757429,53.06,2005,29300
13757429,53.06,2005,28300
13757429,46.48,2005,28100
13757429,31.38,2005,22500
13757429,22.68,2002,9900
60521937,21.61,2006,20500
60521937,22.79,1999,12300
60521937,28.32,1999,12700
60521937,18.72,2006,13900
13757429,28.8,2013,26400
13757429,29.14,2013,26000
13757429,28.5,2013,26900
13757429,32.64,2000,17200
23201927,20.25,1988,10000
23201927,25.56,2015,24800
23201927,26.25,2015,23900
23201927,28.71,2004,22500
23201927,33.93,2004,30000
23201927,31.41,2004,21000
23201927,33.93,2004,27500
23201927,33.93,2004,27500
23201927,80.3,2006,50900
23201927,55.92,2006,43000
23201927,55.92,2006,42000
24655834,92.6,1999,49500
60521937,32.92,2004,22000
60521937,32.92,2004,21500
23201927,26.4,1992,10000
24655834,47.09,2007,34000
12271056,98.87,2007,49800
0,24.2,2014,17600
24655834,29.09,2004,20900
24655834,29.09,2004,22000
24655834,26.96,2002,14850
24655834,28.14,2001,16400
1678488,23.76,2004,10000
7524013,65.96,2005,33000
23201927,40.85,2011,32000
23201927,15.89,2012,12800
23201927,59.68,2011,42000
13757429,35.09,2006,21150
13757429,33.28,2005,18000
13757429,35.91,2005,20000
1678488,17.22,2002,8100
13757429,20.3,2015,18467
13757429,20.3,2015,18467
60521937,28.22,2005,18900
60521937,28.22,2005,19000
60521937,26.64,2005,18400
60521937,26.64,2005,18300
60521937,28.3,2014,26450
60521937,27.4,2014,25800
13757429,24.29,2004,15500
4114831,24.84,2004,9800
4114831,21.75,2004,9400
0,17.16,2004,8900
0,16.2,2001,10500
0,20.39,2002,9550
60521937,31.41,2005,23850
60521937,26.34,2005,19350
60521937,31.41,2005,23200
60521937,31.41,2005,23500
60521937,28.5,2004,17300
0,44.22,2004,23500
0,22.11,2004,14000
41887111,25.35,2009,18000
41887111,25.35,2009,18000
41887111,25.35,2009,18450
41887111,24.7,2004,12800
41887111,34.22,2005,23000
41887111,49.83,2005,30000
41887111,60.06,2005,36000
41887111,41.08,2005,27000
41887111,41.57,2005,25000
5718867,37.99,2016,33900
7744800,29.46,2005,24000
15050385,24.13,1990,9450
29164905,32.64,1990,10700
29164905,34.0,1990,11650
35080031,29.86,2013,25000
35080031,29.85,2013,30500
35080031,49.08,2012,39000
15050385,33.7,1999,16700
15050385,33.7,1999,16900
43884743,38.36,2003,32400
43884743,40.45,2003,28400
43884743,38.81,2005,31800
15050385,22.94,2004,14500
15050385,17.94,2004,12300
15050385,20.5,2004,13000
35080031,32.69,2004,20100
35080031,32.6,2004,21000
35080031,32.69,2004,20500
43884743,24.45,2003,18000
29164905,19.53,2013,19000
29164905,19.53,2013,19000
15050385,19.61,2015,16500
15050385,19.61,2015,16500
15050385,19.61,2015,19600
15050385,56.92,2006,38000
15050385,58.02,2006,39200
43884743,85.31,2005,57500
43884743,33.24,2005,29200
43884743,34.0,2005,22000
43884743,34.0,2005,28000
43884743,51.33,2005,39800
15050385,27.36,1996,11800
15050385,24.09,1990,13900
43884743,20.72,2016,24600
29164905,32.63,2003,20500
43884743,29.43,2006,20300
29164905,24.16,2004,19000
29164905,16.95,2004,13500
43884743,39.56,2004,22500
29164905,15.76,2005,14200
35080031,25.25,1990,14800
0,34.2,1991,11700
0,82.08,1991,23750
0,75.39,2005,50000
15507044,31.4,2004,26000
21083335,19.63,1998,10500
21083335,25.74,2003,13700
20018278,31.6,2003,15200
20018278,33.45,1998,15300
26216519,28.08,2003,14100
26216519,24.84,2003,13200
26216519,40.94,2003,17900
7365708,26.25,1991,2200
5165972,21.9,2016,13300
5165972,33.2,2011,15500
21083335,27.54,2005,15000
21083335,33.34,2005,18200
21083335,21.56,2011,14000
21083335,29.43,2006,20700
19078325,51.1,2003,22000
19078325,24.64,2003,12000
19078325,24.64,2003,12000
19078325,24.64,2003,12000
19078325,24.64,2003,12000
19078325,24.64,2003,12000
19078325,24.64,2003,12000
19078325,23.09,2005,18500
